Destination,myfield,type,formula
Food_Sec,drive1216,Prop,(b08101_009 + b08101_017) / b08101_001 * 100
Food_Sec,edass1216,Prop,(b15002_014 + b15002_031) / b15002_001 * 100
Food_Sec,edcoll1216,Prop,(b15002_015 + b15002_032 + b15002_016 + b15002_017 + b15002_018 + b15002_033 + b15002_034 + b15002_035) / b15002_001 * 100
Food_Sec,edhs1216,Prop,(b15002_011 + b15002_028) / b15002_001 * 100
Food_Sec,edlesshs1216,Prop,(b15002_003 + b15002_004 + b15002_005 + b15002_006 + b15002_007 + b15002_008 + b15002_009 + b15002_010 + b15002_020 + b15002_021 + b15002_022 + b15002_023 + b15002_024 + b15002_025 + b15002_026 + b15002_027) / b15002_001 * 100
Food_Sec,edsomecol1216,Prop,(b15002_012 + b15002_013 + b15002_029 + b15002_030) / b15002_001 * 100
Food_Sec,fhhhkids1216,Prop,b11003_016 / b11003_001 * 100
Food_Sec,hhkids1216,Prop,b11005_002 / b11005_001 * 100
Food_Sec,highrent1216,Prop,(b25106_028 + b25106_032 + b25106_036 + b25106_040 + b25106_ 044) / b25106_024 * 100
Food_Sec,hispanic1216,Prop,b03002_012 / b03002_001 * 100
Food_Sec,langasn1216,Prop,(b16004_014 + b16004_036 + b16004_058) / b16004_001 * 100
Food_Sec,langeng1216,Prop,(b16004_003 + b16004_025 + b16004_047) / b16004_001 * 100
Food_Sec,langoth1216,Prop,(b16004_009 + b16004_019 + b16004_031 + b16004_041 + b16004_053 + b16004_063) / b16004_001 * 100
Food_Sec,langspan1216,Prop,(b16004_004 + b16004_026 + b16004_048) / b16004_001 * 100
Food_Sec,noveh1216,Prop,b08201_002 / b08201_001 * 100
Food_Sec,pov185_1216,Prop,(c17002_002 + c17002_003 + c17002_004 + c17002_005 + c17002_006) / c17002_001 * 100
Food_Sec,prateacs1216,Prop,b17001_002 / b17001_001 * 100
Food_Sec,pratekidsacs1216,Prop,(b17001_004 + b17001_005 + b17001_006 + b17001_007 + b17001_008 + b17001_009 + b17001_018 + b17001_019 + b17001_020 + b17001_021 + b17001_022 + b17001_023) / (b17001_004 + b17001_005 + b17001_006 + b17001_007 + b17001_008 + b17001_009 + b17001_018 + b17001_019 + b17001_020 + b17001_021 + b17001_022 + b17001_023 + b17001_033 + b17001_034 + b17001_035 + b17001_036 + b17001_037 + b17001_038 + b17001_047 + b17001_048 + b17001_049 + b17001_050 + b17001_051 + b17001_052) * 100
Food_Sec,pubtrans1216,Prop,b08101_025 / b08101_001 * 100
Food_Sec,raceaa1216,Prop,b03002_004 / b03002_001 * 100
Food_Sec,raceamind1216,Prop,b03002_005 / b03002_001 * 100
Food_Sec,raceasian1216,Prop,b03002_006 / b03002_001 * 100
Food_Sec,raceoth1216,Prop,(b03002_007 + b03002_008 + b03002_009) / b03002_001 * 100
Food_Sec,racewhite1216,Prop,b03002_003 / b03002_001 * 100
Food_Sec,renters1216,Prop,b25003_003 / b25003_001 * 100
Food_Sec,walkoth1216,Prop,(b08101_033 + b08101_041) / (b08101_001 - b08101_049) * 100
Food_Sec,r95hhincper_1216,Ratio,(b19080_005/b19013_001)
Food_Sec,hh1216,Agg,(B11001_001)
Food_Sec,persons1216,Agg,(B01003_001)
Food_Sec,medincacs1216,Agg,(B19013_001)
Food_Sec,gini1216,Agg,(B19083_001)
Food_Sec,medrent1216,Agg,(B25064_001)
